Ticker,Summary,Sentiment,Confidence,URL
TSLA,Networks segment took a $9.1B hit. Global direct-to-conumerous subscribers up 3.6 million,NEGATIVE,0.998415112,https://www.investing.com/news/stock-market-news/warner-bros-discovery-reports-wider-q2-loss-on-91b-hit-to-networks-unit-3560624
TSLA,"Shares are currently up more than 3%, trading around the $91.80 mark",POSITIVE,0.984345734,https://www.investing.com/news/stock-market-news/micron-resumes-buybacks-shares-gain-432SI-3559985
TSLA, ,NEGATIVE,0.990354538,https://www.google.com/search?q%3Dinvesting.com%26tbm%3Dnws%26pccc%3D1
TSLA,E-commerce sales surge by 20.2% in July. Net sales for the first 48 weeks of the fiscal year total $229.81 billion,POSITIVE,0.979826689,https://www.investing.com/news/company-news/costco-posts-71-sales-increase-in-july-93CH-3560857
TSLA,Company plans to use the net proceeds for general corporate expenses.,NEGATIVE,0.990653157,https://www.investing.com/news/company-news/centerpoint-energy-plans-250-million-stock-sale-93CH-3560797
TSLA,"Bitcoin's market cap was last at $1,081.5659B; Ethereum's was at $2,345.35",NEGATIVE,0.998068869,https://www.investing.com/news/cryptocurrency-news/xrp-climbs-11-in-bullish-trade-3560564
TSLA,"Revenue for the quarter came in at $1.90 billion, below analysts' estimates.",NEGATIVE,0.976105988,https://www.investing.com/news/stock-market-news/monster-beverage-shares-tumble-after-disappointing-q2-earnings-3560613
TSLA,E-commerce firm sees Q3 revenue growth in the low-to-mid-twenties percentage range.,POSITIVE,0.987971485,https://www.investing.com/news/stock-market-news/shopify-stock-soars-on-solid-q2-report-issues-q3-guidance-432SI-3559040
TSLA,"Second-quarter dividend unchanged at $0.26 per share. Net asset value as of June 30, 2024 was $11.36 per share",NEGATIVE,0.982182324,https://www.investing.com/news/company-news/barings-bdc-reports-increased-net-investment-income-93CH-3560805
TSLA,Emil Kakkis is the company's president and CEO.,POSITIVE,0.997777641,https://www.investing.com/news/company-news/ultragenyx-ceo-sells-shares-worth-over-1m-93CH-3560424
TSLA,IPO priced at $4-$5 per share.,NEGATIVE,0.99454248,https://www.investing.com/news/stock-market-news/springview-holdings-files-for-125m-share-ipo-at-45sh-432SI-3560446
NVDA,Networks segment took a $9.1B hit. Global direct-to-conumerous subscribers up 3.6 million,NEGATIVE,0.998415112,https://www.investing.com/news/stock-market-news/warner-bros-discovery-reports-wider-q2-loss-on-91b-hit-to-networks-unit-3560624
NVDA,"Shares are currently up more than 3%, trading around the $91.80 mark",POSITIVE,0.984345734,https://www.investing.com/news/stock-market-news/micron-resumes-buybacks-shares-gain-432SI-3559985
NVDA,Your information may be shared with third parties.,NEGATIVE,0.990354538,https://www.google.com/search?q%3Dinvesting.com%26tbm%3Dnws%26pccc%3D1
